1925,-5,-4,2,-18,17,-299,-726,873,-3354,-30,1,1354276317.132143
316,-2,0,-1,-2,3,-48,-127,143,-545,-5,0,1354276317.136221
1338,-7,2,-3,-11,11,-205,-517,606,-2313,-21,0,1354276317.136342
1943,-5,-1,3,-18,16,-299,-735,876,-3349,-30,1,1354276317.136615
1942,-6,-6,3,-19,16,-298,-735,876,-3346,-29,1,1354276317.136736
1942,-6,-7,2,-18,16,-299,-735,876,-3346,-30,0,1354276317.136854
1940,-3,-6,1,-18,16,-299,-735,876,-3346,-30,1,1354276317.136971
1939,-4,-4,0,-19,17,-298,-735,876,-3345,-30,1,1354276317.1371
1940,-5,-2,2,-18,17,-298,-735,876,-3345,-29,1,1354276317.137885
1940,-7,-2,0,-18,17,-299,-726,872,-3350,-30,1,1354276317.138348
1942,-5,-5,2,-18,18,-299,-725,872,-3349,-30,1,1354276317.13847
1942,-5,-5,2,-18,18,-298,-725,872,-3349,-30,1,1354276317.138588
1942,-8,-3,0,-18,17,-299,-725,872,-3349,-30,1,1354276317.138708
1941,-8,-4,1,-18,17,-299,-725,872,-3349,-30,1,1354276317.138827
1942,-4,-6,0,-19,17,-299,-725,872,-3349,-30,1,1354276317.138946
1942,-3,-6,0,-18,17,-298,-725,872,-3349,-29,1,1354276317.139066
1942,-3,-4,1,-18,17,-298,-725,872,-3350,-29,1,1354276317.139194
1940,-1,-5,-2,-18,17,-299,-725,872,-3351,-29,1,1354276317.139314
1940,-3,-4,-1,-19,17,-299,-729,873,-3349,-29,1,1354276317.139433
1941,-5,-3,0,-18,17,-299,-733,875,-3347,-29,1,1354276317.139554
1943,-5,-5,-1,-18,17,-298,-735,876,-3346,-29,1,1354276317.139673
1942,-2,-4,-1,-18,17,-299,-735,876,-3346,-30,1,1354276317.139798
1943,-2,-2,0,-18,17,-299,-735,876,-3345,-30,1,1354276317.139918
1942,-4,-2,2,-17,17,-298,-735,876,-3344,-29,1,1354276317.140036
1943,-4,-2,2,-18,17,-298,-735,875,-3344,-29,1,1354276317.140145
1941,-6,-2,3,-18,16,-299,-735,876,-3346,-29,1,1354276317.140413
1941,-5,-3,3,-18,17,-298,-735,875,-3346,-29,1,1354276317.141189
1942,-6,-3,3,-18,17,-298,-729,875,-3348,-29,1,1354276317.141311
1941,-6,-4,4,-18,17,-298,-724,874,-3350,-29,1,1354276317.14142
1943,-5,-3,2,-18,18,-298,-723,874,-3350,-29,1,1354276317.141529
1943,-3,-4,2,-18,18,-298,-723,874,-3351,-29,1,1354276317.141638
1943,-3,-4,3,-18,17,-299,-723,874,-3351,-29,1,1354276317.141747
1942,-5,-5,1,-18,17,-299,-724,874,-3351,-28,1,1354276317.141856
1943,-6,-7,2,-18,18,-299,-724,874,-3351,-29,1,1354276317.141981
